symbol,close_ma_30,close_ma_90,close_ma_200,volume_ma_30,volume_ma_90,volume_ma_200,currentRatio_ma,currentRatio_slope,quickRatio_ma,quickRatio_slope,returnOnEquity_ma,returnOnEquity_slope,returnOnAssets_ma,returnOnAssets_slope,netProfitMargin_ma,netProfitMargin_slope,priceEarningsRatio_ma,priceEarningsRatio_slope,priceBookValueRatio_ma,priceBookValueRatio_slope,priceToSalesRatio_ma,priceToSalesRatio_slope,freeCashFlowPerShare_ma,freeCashFlowPerShare_slope,operatingCashFlowPerShare_ma,operatingCashFlowPerShare_slope,cashFlowToDebtRatio_ma,cashFlowToDebtRatio_slope,debtEquityRatio_ma,debtEquityRatio_slope,longTermDebtToCapitalization_ma,longTermDebtToCapitalization_slope,assetTurnover_ma,assetTurnover_slope,inventoryTurnover_ma,inventoryTurnover_slope
APO,48.57633333333333,49.87211111111111,55.413850000000004,1376385.1,2208879.5222222223,2218686.02,0.9306599364759034,0.14601408878465025,0.4648703508078057,0.04682208859967091,0.1309935400412202,0.01866796826429081,0.009667111337904788,0.0366041942543939,0.038807725244062216,-0.03451548412453087,8.92850804778896,-0.10527950235434677,4.219331779695601,-0.010785583662450538,11.917707743572457,0.017598919482728705,-1.091684639802109,0.038400258672511726,1.4959828513494426,-0.012947209930117377,0.11588137245847119,-0.03905893994444109,1.575436954862669,0.11276890732983448,0.6083911870339578,0.1657346056874933,0.05109380195187929,0.017781811070295635,-1.631276115850411,-0.05469666788456439
LII,282.26166666666666,304.1524444444445,317.1544,253198.7,251178.5,256386.405,1.3643484638004455,-0.029702192445408598,0.758333998960862,-0.01801109850239593,0.10897705756937978,-0.09406286616502273,0.05360522430485508,-0.04445597496378715,0.11928272372149984,-0.11909885892217183,23.681798550725745,0.007004791522448631,4.13361548669805,-0.13087413047411717,10.915433201441747,-0.10351479472280609,3.2718510917239074,-0.09516664189856833,4.35531786067072,-0.10681778610443801,0.1010861241381406,-0.10456226497913065,-0.4988123611311831,-0.10111666993216918,1.045471905568316,0.19580128508062447,0.4466726733350088,0.11403799283732127,1.2700825122301151,0.09755827167460218
WDAY,241.976,248.13022222222224,245.92845,2229340.433333333,1807984.677777778,1688337.01,1.6280666690804688,-0.19764110207802882,1.616788076297956,-0.19929966032661364,0.00899233010218765,-0.09537869073613639,0.005011779160883915,-0.09496319506687453,0.041171023289070956,-0.09234069928454804,5540.07812865378,-0.01897359880083721,10.826998339651313,0.18295069213246018,36.589691316448224,0.1523085350375242,1.5282619814243996,-0.034559770749894705,1.7992734132886739,-0.030676407150135216,0.21822584985764137,-0.07891495459050459,0.5397098444154689,0.13629373777656975,0.24907266888649535,-0.03752535997433472,0.12791451938566825,0.05862027816147625,130636125.57118812,0.12063694202440492
TPL,296.3236666666667,424.79277777777776,451.54,108188.2,178878.8111111111,149388.955,11.996067023043793,-0.01738503832434115,10.617815952767344,-0.09630846277115743,0.12052507729402323,0.07641029908863431,0.10534714816639179,0.05879895276919367,0.6382793691116426,-0.060886831696634204,36.643381584353605,0.012108101187357584,17.014026362657113,0.06355276997940824,92.69284515537814,-0.004616190340361433,3.0247239483001236,0.06701857344294523,4.387806278722153,-0.15624802224568227,63.969639742746374,-0.1334647992506628,0.0020221766502423063,0.15317357145166502,0.0,0.0,0.16474093537931947,0.08572014033859955,893875.2039904465,-0.05467741843064762
DELL,38.63033333333333,43.60733333333333,47.435700000000004,5395595.9,5332593.177777777,4702949.48,0.7500146901055719,0.13553671545321488,0.6576709060265817,0.14963739098156764,-0.12446769131454073,0.18104656904006147,0.009653257182750445,-0.019894236944064878,0.03933522552494062,0.027463628513862793,349.1186454068701,0.04183144385081814,-12.77599525578316,0.18722689625632083,1.984270823098039,-0.1644267035802312,1.8078505706153063,0.08237352224402639,2.742486957588379,0.08096943068540509,0.060213306424901,0.007704694846735187,-5.073138298898619,0.15080414902766445,1.0844025273653806,-0.15939313957578113,0.2577594211814828,-0.16169199216342217,4.031514236530568,0.07396782176136711
ERIE,249.69033333333334,235.23811111111112,208.29330000000002,59489.53333333333,64695.166666666664,67681.335,1.461649034946852,0.0005175588594606512,1.5142164053352931,0.0048312818465441314,0.06604549444327924,-0.13937238202093305,0.042403485383531836,-0.1709998141848745,0.14481449521537323,-0.12803021971769618,33.50221872707547,0.03894252703323317,8.642279360579089,-0.11770383950907289,18.932630393836774,-0.12184554729598725,1.486890300092044,-0.13459398910926607,1.7920574742429514,-0.07140037714037258,1.6667629368779262,-0.05208889536782628,0.025100111484593533,0.18456230795660475,0.020993238607108514,0.17620853210882698,0.3181200024258975,0.028215690952836617,62634247.131059915,-0.011276691935222372
PLTR,30.281999999999996,25.828,24.88205,65466658.86666667,78321003.92222223,61631811.6,4.974910763974532,-0.2080497089278641,4.9578466155911505,-0.20882722953678629,-0.01464425185950697,-0.19307006168203109,-0.009057184160133038,-0.19114378393872003,-0.07081184927498718,-0.19688343119019613,83.20604690398557,-0.1692678471580424,14.81430274280139,-0.004144810116647509,83.49055800066876,-0.026185813578925427,0.06772979415789722,-0.1514999147631889,0.07013623677531614,-0.15171126815497119,0.6041857816056494,-0.1665310578368203,0.09805697683638002,0.17737384540063547,0.00852766760237638,0.05404891824723867,0.13267794015099663,-0.05091509130231136,16084220.274719443,0.01250035779763562
SW,44.11300000000001,49.403333333333336,51.0386,2020371.5,2210695.788888889,1857729.18,1.3718961991210765,-0.007082181561147679,1.0575098087210306,-0.0069923370165383865,252655.46857614498,7.208937188622144e-08,252655.50658053628,3.619483910667053e-08,0.03948601831666891,0.3256114082282561,-37134.3864954037,0.10207682384125186,17203079.758923907,-0.0007559528387789141,2.4842567740821186,-0.33183757504427475,0.7997750028506138,0.327932305000087,1.8669220033557676,0.3223994318895359,0.20173556979266274,-0.14192101018064798,0.42410378211935745,0.2655455109358802,0.23328572212651794,0.2825384440053352,3909851.2505282024,-0.0008975276186676414,1.9488331495185867,0.29248532816800954
CRWD,221.55,209.1947222222222,230.278525,3706940.933333333,3969452.922222222,3732207.545,1.8771054746502072,0.13144737475432966,1.8215215639024225,0.11028837400580747,-0.0220045190649096,-0.176657226330566,-0.006137312186178741,-0.17737168931889244,-0.0554422802290415,-0.1785167271724626,833.523603749031,-0.028260837116586023,35.06716043422786,0.1775040411827595,92.23019920048338,0.1673139319782965,0.7899320610298435,-0.19910375652560458,1.0148508822602984,-0.20154765394201135,0.3049570187799162,-0.203725507772611,0.575465735721203,0.21582823572200707,0.3409943557943686,0.2155811833047041,0.12402217226319556,-0.18281925549150746,21863938.074455276,-0.03636468637312377
GDDY,83.50633333333333,81.73777777777778,79.8058,1265115.0666666667,1361295.1333333333,1204079.03,0.6310920545587672,0.14369661222989433,0.512111590998146,0.000347642133472067,1.1134923121381062,-0.0600893552658345,0.024183055297287107,-0.08595861117695984,0.16735411154745136,-0.08476164819839564,51.47910231866923,0.11367627462797494,-14.914524183071839,-0.13210827714059278,14.069247105450536,-0.10544998763957107,1.5444511647861154,-0.17672009945700484,1.7062775486145587,-0.19037850434374545,0.06543661585488636,-0.1790017145109155,-7.349079521565151,-0.12803225808987836,1.0465463931442944,0.059034848415406675,0.14315749874293232,-0.12204167431424501,28231250.107241698,-0.05467741055916125
