symbol,currentRatio,quickRatio,returnOnEquity,returnOnAssets,netProfitMargin,priceEarningsRatio,priceBookValueRatio,priceToSalesRatio,freeCashFlowPerShare,operatingCashFlowPerShare,cashFlowToDebtRatio,debtEquityRatio,longTermDebtToCapitalization,assetTurnover,inventoryTurnover,currentRatio_slope,quickRatio_slope,returnOnEquity_slope,returnOnAssets_slope,netProfitMargin_slope,priceEarningsRatio_slope,priceBookValueRatio_slope,priceToSalesRatio_slope,freeCashFlowPerShare_slope,operatingCashFlowPerShare_slope,cashFlowToDebtRatio_slope,debtEquityRatio_slope,longTermDebtToCapitalization_slope,assetTurnover_slope,inventoryTurnover_slope
APO,0.8000445079094264,0.8000445079094264,0.0861299484147684,0.0039323092393389,0.2812795759984857,16.285376177658144,5.610634440387178,18.322974824910087,-0.0068247739293635,-0.0068247739293635,-0.000377786173026,0.6136903726888078,0.3803024316655292,0.0139800738300321,0.0,0.14601408878465025,0.04682208859967091,0.01866796826429081,0.0366041942543939,-0.03451548412453087,-0.10527950235434677,-0.010785583662450538,0.017598919482728705,0.038400258672511726,-0.012947209930117377,-0.03905893994444109,0.11276890732983448,0.1657346056874933,0.017781811070295635,-0.05469666788456439
LII,1.434706464631082,0.8980430975405467,0.2325335215243472,0.0569445244541736,0.1469888475836431,27.595108394157812,25.667150926958364,16.224692727211895,7.600121479090856,9.280971269837622,0.2232970576380491,1.7508821453775585,0.4827837936488623,0.3874071087044184,1.262343927355278,-0.029702192445408598,-0.01801109850239593,-0.09406286616502273,-0.04445597496378715,-0.11909885892217183,0.007004791522448631,-0.13087413047411717,-0.10351479472280609,-0.09516664189856833,-0.10681778610443801,-0.10456226497913065,-0.10111666993216918,0.19580128508062447,0.11403799283732127,0.09755827167460218
WDAY,2.0529172320217097,2.0529172320217097,0.0223794063079777,0.0117510959571358,0.0893518518518518,80.39684242227979,7.196934409786642,28.73442701388889,1.3526191454009064,1.5297029889492146,1.068421052631579,0.0440630797773654,0.0312289373174567,0.1315148563078421,0.0,-0.19764110207802882,-0.19929966032661364,-0.09537869073613639,-0.09496319506687453,-0.09234069928454804,-0.01897359880083721,0.18295069213246018,0.1523085350375242,-0.034559770749894705,-0.030676407150135216,-0.07891495459050459,0.13629373777656975,-0.03752535997433472,0.05862027816147625,0.12063694202440492
TPL,8.333923841059603,8.333923841059603,0.1045153713359794,0.0948382237464143,0.6370839254187659,53.695958166018926,22.44821202785075,136.8353272301167,-7.043879420332123,5.506609031498338,279.4172185430464,0.0004000123624129,0.0,0.1488629989904007,0.0,-0.01738503832434115,-0.09630846277115743,0.07641029908863431,0.05879895276919367,-0.060886831696634204,0.012108101187357584,0.06355276997940824,-0.004616190340361433,0.06701857344294523,-0.15624802224568227,-0.1334647992506628,0.15317357145166502,0.0,0.08572014033859955,-0.05467741843064762
DELL,0.7683838383838384,0.634,-0.4932166301969365,0.0137521201693695,0.0462529754576048,20.553673469387757,-40.54965426695842,3.802674218172864,1.2909604519774012,2.193502824858757,0.0620653824634321,-10.95054704595186,1.133430656934307,0.2973240106893143,2.8651533373421527,0.13553671545321488,0.14963739098156764,0.18104656904006147,-0.019894236944064878,0.027463628513862793,0.04183144385081814,0.18722689625632083,-0.1644267035802312,0.08237352224402639,0.08096943068540509,0.007704694846735187,0.15080414902766445,-0.15939313957578113,-0.16169199216342217,0.07396782176136711
ERIE,0.0,0.0,0.0765018935638955,0.0526304310648636,0.4490260651258953,31.310664747844164,9.581300567817566,56.23721835280218,3.178566526359272,0.0,0.0,0.0,0.0,0.1172101914620645,0.0,0.0005175588594606512,0.0048312818465441314,-0.13937238202093305,-0.1709998141848745,-0.12803021971769618,0.03894252703323317,-0.11770383950907289,-0.12184554729598725,-0.13459398910926607,-0.07140037714037258,-0.05208889536782628,0.18456230795660475,0.17620853210882698,0.028215690952836617,-0.011276691935222372
PLTR,5.958013810995384,5.958013810995384,0.0157914565959296,0.0124602500219212,0.0954769618582775,551.57735602906,34.84083950812218,210.6517207339046,0.1983705897436008,0.1997181635683893,1.924291130721222,0.0478124828237504,0.0375542872839689,0.1305053049385543,0.0,-0.2080497089278641,-0.20882722953678629,-0.19307006168203109,-0.19114378393872003,-0.19688343119019613,-0.1692678471580424,-0.004144810116647509,-0.026185813578925427,-0.1514999147631889,-0.15171126815497119,-0.1665310578368203,0.17737384540063547,0.05404891824723867,-0.05091509130231136,0.01250035779763562
SW,1.371198690849584,0.8870857766262102,0.0172811059907834,0.0068557325350213,0.0397930760047751,22.800733333333337,1.5760875576036866,3.629245257991776,0.4173228346456692,1.5374015748031495,0.741690408357075,0.0606566820276497,0.0,0.1722845586050869,1.7174647887323944,-0.007082181561147679,-0.0069923370165383865,7.208937188622144e-08,3.619483910667053e-08,0.3256114082282561,0.10207682384125186,-0.0007559528387789141,-0.33183757504427475,0.327932305000087,0.3223994318895359,-0.14192101018064798,0.2655455109358802,0.2825384440053352,-0.0008975276186676414,0.29248532816800954
CRWD,1.8572070871023003,1.8572070871023003,-0.0055011015610871,-0.0021613890245842,-0.0166525107456309,-1083.2878421115206,23.83710575738579,72.15784972549392,1.0077218819236282,1.328261436204874,0.41181335713952,0.2589824564501576,0.2024640696714278,0.1297935823372039,0.0,0.13144737475432966,0.11028837400580747,-0.176657226330566,-0.17737168931889244,-0.1785167271724626,-0.028260837116586023,0.1775040411827595,0.1673139319782965,-0.19910375652560458,-0.20154765394201135,-0.203725507772611,0.21582823572200707,0.2155811833047041,-0.18281925549150746,-0.03636468637312377
GDDY,0.7233175214942188,0.7233175214942188,0.2869527524924143,0.024115404230517,0.1665269159818883,35.204109743202416,40.40766475942783,23.449727301693777,2.3014383107259304,2.4030657614295596,0.0879458635741405,5.594133795694264,0.8452093397745571,0.1448138523933263,0.0,0.14369661222989433,0.000347642133472067,-0.0600893552658345,-0.08595861117695984,-0.08476164819839564,0.11367627462797494,-0.13210827714059278,-0.10544998763957107,-0.17672009945700484,-0.19037850434374545,-0.1790017145109155,-0.12803225808987836,0.059034848415406675,-0.12204167431424501,-0.05467741055916125
